学籍番号,姓,名,姓（カタカナ）,名（カタカナ）,生年月日,血液型,性別,電話番号,郵便番号,住所,Column1,町域番地,_3,住所（カタカナ）,_4,チョウイキ,_7
N00020,久野,拓雅,ヒサノ,タクマ,2008/2/18,A,男,931790573,836-0077,福岡県,大牟田市,早米来町3-13,早米来町シーサイド300,フクオカケン,オオムタシ,ゾウメキマチ3-13,ゾウメキマチシーサイド300
N00021,小栗,杏紗,オグリ,アズサ,2009/8/5,O,女,935323806,824-0802,福岡県,京都郡みやこ町,勝山松田1-3,,フクオカケン,ミヤコグンミヤコマチ,カツヤママツダ1-3,
N00022,土居,月人,ドイ,ツキト,2010/7/27,A,男,939150353,820-0303,福岡県,嘉麻市,中益3-5-6,プレシャス中益313,フクオカケン,カマシ,ナカマス3-5-6,プレシャスナカマス313
N00023,田辺,優真,タナベ,ユウマ,2004/9/8,B,男,940147445,830-0204,福岡県,久留米市,城島町内野2-3-17,,フクオカケン,クルメシ,ジョウジママチウチノ2-3-17,
N00024,江頭,弘恭,エガシラ,ヒロユキ,2003/10/27,O,男,940793999,811-0114,福岡県,糟屋郡新宮町,湊坂4-7-8,湊坂タワー310,フクオカケン,カスヤグンシングウマチ,ミナトザカ4-7-8,ミナトザカタワー310
N00025,岩沢,柚季,イワサワ,ユズキ,2001/11/1,O,女,923316179,838-0105,福岡県,小郡市,横隈2-15-16,,フクオカケン,オゴオリシ,ヨコグマ2-15-16,
N00026,阿久津,麻冬,アクツ,マフユ,2003/2/18,B,女,92978942,810-0021,福岡県,福岡市中央区,今泉4-8-14,今泉ダイヤモンド307,フクオカケン,フクオカシチュウオウク,イマイズミ4-8-14,イマイズミダイヤモンド307
N00027,牧野,泰男,マキノ,ヤスオ,2004/3/15,A,男,943761118,819-0036,福岡県,福岡市西区,吉武1-17,,フクオカケン,フクオカシニシク,ヨシタケ1-17,
N00028,本山,克海,モトヤマ,カツミ,2010/8/21,B,男,949186419,811-4238,福岡県,遠賀郡岡垣町,海老津駅南1-14-19,リバーサイド海老津駅南315,フクオカケン,オンガグンオカガキマチ,エビツエキミナミ1-14-19,リバーサイドエビツエキミナミ315
N00029,坂元,碧希,サカモト,アイキ,2010/1/27,B,男,928624905,816-0833,福岡県,春日市,紅葉ケ丘東1-3,,フクオカケン,カスガシ,モミジガオカヒガシ1-3,
N00030,篠崎,美雪,シノザキ,ミユキ,2006/10/8,B,女,921429986,828-0077,福岡県,豊前市,上川底1-14-16,,フクオカケン,ブゼンシ,カミカワソコ1-14-16,
N00031,高村,祥都,タカムラ,サキト,2006/10/18,B,男,94757038,801-0821,福岡県,北九州市門司区,黒川3-10,グランド黒川405,フクオカケン,キタキュウシュウシモジク,クロガワ3-10,グランドクロガワ405
N00032,川合,紗穂里,カワイ,サホリ,2009/9/4,O,女,937819082,839-0863,福岡県,久留米市,国分町4-19-12,,フクオカケン,クルメシ,コクブマチ4-19-12,
N00033,沢田,政夫,サワダ,マサオ,2006/10/23,B,男,922434430,810-0032,福岡県,福岡市中央区,輝国3-5-15,,フクオカケン,フクオカシチュウオウク,テルクニ3-5-15,
N00034,石井,菜奈,イシイ,ナナ,2010/7/28,O,女,926448473,820-0603,福岡県,嘉穂郡桂川町,寿命4-9-7,,フクオカケン,カホグンケイセンマチ,ジュメイ4-9-7,
N00035,川辺,星輝,カワベ,ショウキ,2008/9/24,AB,男,923217153,811-2401,福岡県,糟屋郡篠栗町,高田4-12,,フクオカケン,カスヤグンササグリマチ,タカタ4-12,
N00036,奥,千代,オク,チヨ,2007/12/3,AB,女,927051057,820-0005,福岡県,飯塚市,新飯塚2-12-2,レジデンス新飯塚307,フクオカケン,イイヅカシ,シンイイヅカ2-12-2,レジデンスシンイイヅカ307
N00037,安井,理央,ヤスイ,リオ,2005/5/15,O,男,938885991,833-0052,福岡県,筑後市,高江2-17-13,,フクオカケン,チクゴシ,タカエ2-17-13,
N00038,青柳,翔真,アオヤギ,ショウマ,2002/11/7,O,男,929679391,836-0023,福岡県,大牟田市,中島町2-15-18,タウン中島町303,フクオカケン,オオムタシ,ナカシママチ2-15-18,タウンナカシママチ303
N00039,市川,昊空,イチカワ,ソラ,2010/8/26,B,男,94847556,830-0035,福岡県,久留米市,東和町3-14,,フクオカケン,クルメシ,トウワマチ3-14,
N00040,黒木,歩実,クロキ,アユミ,2005/11/30,A,女,933431388,811-4239,福岡県,遠賀郡岡垣町,野間南2-9-13,,フクオカケン,オンガグンオカガキマチ,ノマミナミ2-9-13,
N00041,柳瀬,貴春,ヤナセ,キハル,2010/5/7,A,男,935876928,806-0052,福岡県,北九州市八幡西区,鳴水町4-18-2,,フクオカケン,キタキュウシュウシヤハタニシク,ナルミズマチ4-18-2,
N00042,梅田,爽玄,ウメダ,ソウゲン,2007/11/3,A,男,928423779,836-0036,福岡県,大牟田市,小川町3-1-10,,フクオカケン,オオムタシ,オガワマチ3-1-10,
N00043,大宮,諒太,オオミヤ,リョウタ,2003/6/22,AB,男,947920458,816-0813,福岡県,春日市,惣利3-12-5,,フクオカケン,カスガシ,ソウリ3-12-5,
N00044,広川,凪沙,ヒロカワ,ナギサ,2001/12/18,A,女,938260768,808-0034,福岡県,北九州市若松区,本町3-1-18,ガーデン本町111,フクオカケン,キタキュウシュウシワカマツク,ホンマチ3-1-18,ガーデンホンマチ111
N00045,笠原,真由,カサハラ,マユ,2004/11/10,B,女,924695436,810-0041,福岡県,福岡市中央区,大名3-7-19,,フクオカケン,フクオカシチュウオウク,ダイミョウ3-7-19,
N00046,小野寺,瑠樹,オノデラ,ルキ,2009/12/18,B,男,9259349,824-0511,福岡県,田川郡大任町,今任原3-17-16,,フクオカケン,タガワグンオオトウマチ,イマトウバル3-17-16,
N00047,宮城,翼,ミヤギ,ツバサ,2005/5/29,A,女,939710631,807-1146,福岡県,北九州市八幡西区,楠橋下方1-1-10,ザ楠橋下方106,フクオカケン,キタキュウシュウシヤハタニシク,クスバシシモカタ1-1-10,ザクスバシシモカタ106
N00048,大関,帆乃香,オオゼキ,ホノカ,2002/8/17,A,女,940548932,828-0045,福岡県,豊前市,皆毛4-19,リバーサイド皆毛416,フクオカケン,ブゼンシ,カイモ4-19,リバーサイドカイモ416
N00049,山根,月路,ヤマネ,ツキジ,2005/6/22,A,男,920898958,832-0062,福岡県,柳川市,城南町1-5,,フクオカケン,ヤナガワシ,ジョウナンマチ1-5,
N00050,後藤,颯佑,ゴトウ,ソウスケ,2009/6/14,A,男,929491296,820-0116,福岡県,飯塚市,多田3-9-19,,フクオカケン,イイヅカシ,タダ3-9-19,
